"id","priority","phase","area","title","description","acceptance_criteria","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"TASK-010","P1","1","backend","完善 OpenAI Responses API input_file 类型支持","在 openaiToClaudeAdapter.js 中添加对 input_file 类型的处理，支持 filename+file_data 和 file_id 两种格式转换到 Claude document 格式","1. 能正确解析 input_file 类型的请求内容; 2. 支持 data URL 格式的 file_data; 3. 支持 file_id 引用格式","1. 检查类型判断逻辑是否完整; 2. 验证 base64 数据提取正确性; 3. 确认 media_type 映射准确","1. 验证现有 input_text/input_image 功能未受影响; 2. 测试混合内容类型请求","已完成","已完成","已完成","已提交","","openaiToClaudeAdapter.js:95-108","参考 convert.md 中 OpenAI Responses API input_file 格式"
"TASK-020","P2","1","backend","添加 OpenAI Responses API reasoning 类型处理","在请求转换中识别并处理 OpenAI reasoning 类型内容块，转换为 Claude thinking 格式","1. 能识别 reasoning 类型输入; 2. 正确转换为 Claude thinking content block","1. 检查 reasoning 类型识别逻辑; 2. 验证转换后格式符合 Claude API 规范","1. 验证普通文本内容转换未受影响","已完成","已完成","已完成","已提交","","openaiToClaudeAdapter.js:95-108",""
"TASK-030","P1","1","backend","完善 Document 类型双向转换 - OpenAI 到 Claude","补充 OpenAI 格式文档内容到 Claude document 格式的完整转换逻辑，包括 file_id 格式处理","1. 支持 OpenAI 文档格式转 Claude document; 2. 正确处理 file_id 引用; 3. 保留文档元数据","1. 验证 media_type 映射表完整; 2. 检查 base64 编码处理","1. 验证现有图片转换功能正常; 2. 测试 tool_result 嵌套文档场景","已完成","已完成","已完成","已提交","","imageUtils.js:1-241","依赖 imageUtils.js 公共模块"
"TASK-040","P1","1","backend","完善 Document 类型双向转换 - Gemini 到 OpenAI","添加 Gemini fileData 格式到 OpenAI 文档格式的转换逻辑","1. 能将 Gemini fileData 转换为 OpenAI 兼容格式; 2. 保留 MIME 类型信息","1. 检查 Gemini fileData 结构解析; 2. 验证输出格式符合 OpenAI 规范","1. 验证现有 Gemini 响应转换未受影响","已完成","已完成","已完成","已提交","","openaiAdapter.js:267-276",""
"TASK-050","P1","2","backend","统一 Thinking 配置转换 - effort 级别映射","实现 OpenAI reasoning.effort 与 Claude budget_tokens 和 Gemini thinkingBudget 之间的标准化映射","1. 定义 low/medium/high 到 token 数量的映射表; 2. 支持双向转换; 3. 提供默认值处理","1. 验证映射值合理性; 2. 检查边界值处理","1. 验证现有 thinking 功能正常; 2. 测试不同 effort 级别","已完成","已完成","已完成","已提交","","anthropicAdapter.js:369|claudeToOpenaiAdapter.js:221-254","参考 convert.md 中的映射关系: low=5000, medium=10000, high=20000"
"TASK-060","P2","2","backend","完善 Thinking 响应转换 - OpenAI reasoning 格式","添加 Gemini thinking 响应到 OpenAI reasoning 格式的转换，生成符合 OpenAI Responses API 的 reasoning 块","1. 能将 Gemini thought:true 内容转换为 OpenAI reasoning 格式; 2. 生成正确的 summary 结构; 3. 分配唯一 reasoning ID","1. 验证 reasoning 块结构符合规范; 2. 检查 ID 生成逻辑","1. 验证现有 Claude thinking 响应转换未受影响","已完成","已完成","已完成","已提交","","anthropicAdapter.js:697-710|openaiAdapter.js:339-350",""
"TASK-070","P2","3","backend","统一 Tool ID 生成策略","规范化工具调用 ID 的生成格式，区分 Claude (toolu_) 和 OpenAI (call_) 前缀，确保多轮对话可追溯","1. Claude 格式使用 toolu_ 前缀; 2. OpenAI 格式使用 call_ 前缀; 3. ID 在会话内唯一且可追溯","1. 验证 ID 格式符合各平台规范; 2. 检查哈希算法碰撞概率","1. 验证现有多轮对话工具调用正常; 2. 测试长对话 ID 追溯","已完成","已完成","已完成","已提交","","messageUtils.js:163-174","仅新增功能，不修改现有 ID 格式以保持兼容"
"TASK-080","P1","3","backend","完善 Tool Result 错误处理标准化","统一处理 tool_result 中 is_error: true 的场景，确保错误信息在各格式间正确传递","1. 正确识别和传递 is_error 标志; 2. 错误内容格式标准化; 3. 支持 OpenAI/Claude/Gemini 三方格式","1. 验证错误标志传递逻辑; 2. 检查错误内容保留完整性","1. 验证正常 tool_result 处理未受影响","已完成","已完成","已完成","已提交","","imageUtils.js:205-241|anthropicAdapter.js:99-107",""
"TASK-090","P1","3","backend","完善 OpenAI tool 消息内容类型保留","确保 OpenAI tool 消息转换为 Claude tool_result 时保留嵌套的图片、文档等内容类型","1. 图片内容正确转换保留; 2. 文档内容正确转换保留; 3. 多内容块场景支持","1. 验证内容类型识别逻辑; 2. 检查嵌套结构处理","1. 验证简单 tool_result 转换未受影响","已完成","已完成","已完成","已提交","","openaiToClaudeAdapter.js:30-113",""
"TASK-100","P1","4","backend","统一 Stop Reason 映射表","完善并验证 Claude/OpenAI/Gemini 三方 stop_reason 的完整映射关系","1. 覆盖所有已知 stop_reason 值; 2. 提供双向映射; 3. 处理未知值的降级策略","1. 对照 convert.md 验证映射完整性; 2. 检查 tool_calls 特殊处理","1. 验证现有响应转换未受影响; 2. 测试各种终止原因场景","已完成","已完成","已完成","已提交","","anthropicAdapter.js:793-797|openaiAdapter.js:292-309","注意 Gemini tool_use 返回 STOP 需特殊处理"
